Order,Species,AdultBodyMass,Temperature,SexualMaturityAge,TrophicLevel,NeonateBodyMass,GestationLen,SocialGrpSize,WeaningAge,Social
Chiroptera,cavernarum,45.5,24.0,,2.0,,,,0.201205479452,
Chiroptera,nana,37.25,24.661,,,13.34,,,,
Rodentia,albicauda,200.0,19.581,,1.0,,,,,
Rodentia,villosa,219.99,,,,,,,,
Primates,arachnoides,10537.31,21.176,7.88010958904,2.0,,221.75,19.6,2.01320547945,False
Primates,hypoxanthus,,19.367,,,,,,,
Rodentia,betsileoensis,93.58,18.484,,,,,,,
Rodentia,ramirohitra,92.31,18.549,,,,,,,
Soricomorpha,olivieri,34.42,24.3,,,,,,,
Soricomorpha,orientalis,,,,,,,,,
Artiodactyla,dorsalis,20000.0,24.444,1.49989041096,2.0,1611.37,238.0,1.0,,True
Artiodactyla,jentinki,68489.54,25.15,,1.0,4581.46,,,,
Artiodactyla,leucogaster,13208.69,23.975,,2.0,,,,,
Artiodactyla,natalensis,12724.51,22.897,,1.0,954.89,212.97,2.0,,False
Rodentia,subspinosus,1299.99,22.764,,1.0,,,1.0,,True
Chiroptera,dwyeri,8.74,17.614,,,,,,0.0997534246575,
Chiroptera,gouldii,14.24,20.838,,3.0,,92.54,,,
Chiroptera,morio,8.91,17.207,,3.0,1.68,,,,
Chiroptera,neocaledonicus,,20.531,,,,,,,
Diprotodontia,inustus,12625.0,25.998,1.58421917808,1.0,,,,1.47523287671,
Diprotodontia,lumholtzi,6649.97,21.354,2.23657534247,,,,,1.47750684932,
Diprotodontia,matschiei,8293.4,22.582,2.60043835616,1.0,,33.95,,1.39479452055,
Diprotodontia,mbaiso,9395.06,11.4,,,,,,,
Diprotodontia,pulcherrimus,,30.125,,,,,,,
Diprotodontia,scottae,9958.58,29.825,,1.0,,,,,
Diprotodontia,spadix,8468.2,24.328,,1.0,,,,,
Diprotodontia,stellarum,,19.923,,,,,,,
Diprotodontia,ursinus,13249.99,21.89,,1.0,,,,,
Rodentia,insignis,,16.553,,,,,,,
Rodentia,kahuziensis,,20.607,,,,,,,
Rodentia,leucostomus,,,,,,,,,
Rodentia,lovati,12.0,14.937,,,,,,,
Rodentia,melanotis,9.1,22.497,,,,25.0,,,
Rodentia,mesomelas,10.2,21.119,,,,,,,
Rodentia,messorius,,24.309,,,,,,,
Rodentia,mystacalis,8.17,21.507,,,,,,,
Rodentia,nyasae,,19.125,,,,,,,
Rodentia,nyikae,15.0,21.719,,,,,,,
Rodentia,oreas,,23.081,,,,,,,
Rodentia,vernayi,,21.233,,,,,,,
Rodentia,rousseloti,,24.0,,,,,,,
Rodentia,ferrugineus,57.6,23.865,,,,,,,
Rodentia,defua,43.05,25.564,,,,,,,
Rodentia,eburneae,52.5,25.254,,,,,,,
Soricomorpha,moschata,427.64,5.031,,2.0,,46.53,,0.108767123288,
Rodentia,braueri,10.0,27.475,,,0.9,30.16,,,
Rodentia,auricularis,54.81,18.345,,1.0,2.84,27.11,,0.0903835616438,
Chiroptera,rotundus,33.16,21.633,,3.0,6.94,209.35,,0.693178082192,
Rodentia,harringtoni,89.99,18.481,,,,,,,
Rodentia,yaldeni,,,,,,,,,
Chiroptera,youngi,36.71,23.793,,3.0,,,,,
Chiroptera,albus,16.56,24.562,,3.0,0.51,,1.0,,True
Chiroptera,ingens,12.3,25.294,,,,,,,
Chiroptera,isabellus,12.61,25.35,,,,,,,
Chiroptera,scutatus,13.62,25.4,,,,,,,
Rodentia,groenlandicus,58.44,-13.067,0.105780821918,,4.42,20.84,,0.0477260273973,
Rodentia,hudsonius,57.0,-6.642,,,,20.0,,,
Rodentia,nelsoni,,-3.7,,,,,,,
Rodentia,nunatakensis,,-12.421,,,,,,,
Rodentia,richardsoni,,-9.519,,,,,,,
Rodentia,torquatus,78.77,-10.389,,,3.05,17.08,,0.0833150684932,
Rodentia,unalascensis,,2.456,,,5.02,21.0,,,
Rodentia,vinogradovi,,-12.028,,,,,,,
Rodentia,bogdanovi,56.0,7.405,,,,30.41,,,
Rodentia,branickii,12500.0,24.754,,1.0,769.43,252.74,,,
Rodentia,crumpi,,23.81,,,,,,,
Chiroptera,ecaudata,28.11,23.762,,3.0,4.8,,,,
Carnivora,hosei,,23.132,,2.0,,,,,
Soricomorpha,pulchellum,11.0,10.254,,,,,,,
Rodentia,caniceps,394.49,16.688,,1.0,,,1.0,,True
Rodentia,labilis,282.17,24.507,,1.0,59.5,55.72,1.0,,True
Rodentia,rufodorsalis,144.8,23.856,,1.0,,,1.0,,True
Rodentia,legata,,,,,,,,,
Rodentia,bottai,,27.93,,,,,,,
Rodentia,campestris,27.58,20.385,,,,,,,
Rodentia,dasyurus,27.5,22.272,,,,25.0,,,
Rodentia,harwoodi,,20.858,,,,,,,
Rodentia,jamesi,,19.001,,,,,,,
Rodentia,lowei,,20.6,,,,,,,
Rodentia,mackilligini,,24.205,,,,,,,
Rodentia,maghrebi,,15.803,,,,,,,
Rodentia,moreni,18.0,4.143,,,,,,,
Rodentia,morgani,16.5,7.045,,,,,,,
